Born,90s,Gls,Ast,CrdY,CrdR,Pos_format,Player_format
1994,7,1,0,2,0,1,500
1997,28,1,5,5,0,1,501
1992,16,2,2,5,2,1,502
1993,12,2,0,2,0,1,503
1993,6,0,0,0,0,1,504
1997,1,0,0,0,0,1,505
2001,0,0,0,0,0,1,506
2000,26,0,0,4,0,1,507
1993,0,0,0,0,0,1,508
2000,1,0,0,0,0,1,509
1997,10,0,0,1,0,1,510
1994,12,0,1,5,0,1,511
1984,2,0,0,1,0,1,512
2004,11,1,1,1,1,1,513
1994,14,2,0,4,0,1,514
1994,0,0,0,1,0,1,514
1995,14,0,1,4,0,1,515
1995,5,0,1,0,1,1,515
1995,23,0,2,5,0,1,516
2006,0,0,0,0,0,1,517
1998,3,0,0,2,0,1,518
1994,24,2,2,1,0,1,519
2001,6,0,0,1,0,1,520
2006,1,0,0,1,0,1,521
1996,5,0,0,0,0,1,522
2000,6,0,0,0,0,1,523
1998,29,0,7,6,0,1,524
2005,1,0,0,1,0,1,525
1991,24,1,0,7,0,1,526
1999,30,1,3,11,0,1,527
1999,19,0,1,7,1,1,528
1997,13,0,3,3,0,1,529
1989,14,2,0,1,1,1,530
1991,8,0,0,4,0,1,531
1993,14,1,0,5,0,1,532
2002,13,1,0,2,0,1,533
2004,6,1,0,2,0,1,534
2002,3,0,1,2,0,1,533
2004,1,0,0,0,0,1,535
2004,0,0,0,0,0,1,536
2001,19,0,2,7,0,1,537
1991,10,1,1,5,0,1,538
2000,25,4,0,11,1,1,539
1990,12,1,0,4,0,1,540
1997,17,1,0,2,0,1,541
2005,12,2,0,3,0,1,542
1993,15,1,2,2,0,1,543
2000,6,0,1,1,0,1,544
1995,14,0,2,4,0,1,545
1991,29,1,0,4,1,1,546
1997,4,1,0,1,0,1,547
2001,7,0,0,1,0,1,548
2001,2,0,0,0,0,1,548
1994,0,0,0,0,0,1,549
1999,25,0,2,1,0,1,550
1997,18,3,0,9,0,1,551
1991,12,1,0,0,0,1,552
1996,23,0,0,2,0,1,553
1990,27,1,1,1,0,1,554
1998,7,0,0,1,0,1,555
1991,6,0,0,0,0,1,556
2006,0,0,0,0,1,1,557
1997,28,0,0,4,0,1,558
2000,6,0,0,2,0,1,559
2003,9,1,2,1,0,1,560
1998,6,0,0,0,0,1,561
1986,9,0,2,3,0,1,562
1998,18,0,0,4,0,1,563
1996,22,1,1,3,0,1,564
2002,14,0,1,0,0,1,565
2003,0,0,0,0,0,1,566
2002,8,0,1,1,0,1,565
1997,8,0,0,0,0,1,567
1998,4,0,0,0,0,1,568
2002,3,1,1,3,0,1,569
1990,0,0,0,0,0,1,570
1998,34,1,3,8,0,1,571
1999,5,0,2,2,2,1,572
1999,15,2,0,4,0,1,573
1999,16,1,2,0,0,1,574
2007,17,0,0,4,0,1,575
2004,5,0,0,0,0,1,576
1995,19,0,0,5,0,1,577
1998,3,0,0,0,0,1,578
2001,14,0,0,6,0,1,579
2005,3,0,1,0,0,1,580
2002,27,1,0,3,0,1,581
1997,7,0,1,2,0,1,582
1992,18,0,0,9,0,1,583
1994,8,2,1,3,0,1,584
1988,3,0,2,1,0,1,585
2002,9,0,0,2,0,1,262
1997,1,0,0,0,0,1,586
1998,13,2,1,2,1,1,587
1990,11,0,0,6,1,1,588
1994,23,0,5,1,0,1,589
1995,16,1,3,3,0,1,590
1999,30,0,2,2,1,1,591
2001,1,0,0,2,0,1,592
2004,0,0,0,0,0,1,593
1995,12,0,0,4,1,1,594
1997,14,0,2,1,0,1,595
2003,11,1,0,4,1,1,596
1990,21,3,1,5,0,1,597
1992,20,0,1,3,0,1,598
2001,10,0,0,3,0,1,599
2001,18,0,1,5,1,1,600
1987,14,0,1,3,0,1,601
2000,26,2,0,4,0,1,602
1995,32,1,0,9,0,1,603
1999,22,0,2,7,0,1,604
1994,1,1,0,0,0,1,605
1992,26,2,5,8,0,1,606
2000,22,3,1,7,0,1,607
1999,23,0,0,4,0,1,608
1999,9,5,2,2,0,1,609
1989,0,0,0,0,0,1,610
2000,14,0,1,6,0,1,611
1996,13,1,0,5,0,1,612
2003,14,0,1,1,0,1,613
2000,9,0,2,4,0,1,614
1995,10,1,0,2,0,1,615
1992,4,2,1,1,0,1,616
2002,26,0,3,4,0,1,617
1998,28,1,1,6,1,1,618
2005,16,0,1,0,0,1,619
1997,24,4,0,8,1,1,620
1995,19,0,1,0,1,1,621
1996,8,0,3,0,0,1,622
1996,8,1,0,3,0,1,623
1999,25,1,3,5,0,1,624
1999,26,1,0,6,1,1,625
1999,29,1,2,3,2,1,626
1988,4,0,0,1,0,1,627
2000,9,1,0,3,0,1,628
2005,0,0,0,0,0,1,629
1991,2,0,0,1,0,1,630
2005,1,0,0,0,0,1,631
2002,27,2,3,7,1,1,632
1996,30,3,3,5,0,1,633
1993,2,0,0,0,0,1,634
1998,20,1,0,3,1,1,635
1996,37,0,1,3,1,1,636
2002,12,0,0,2,0,1,637
